imagelink,imagelink-href,title,artist,country,height,width,price,views,favorites,subject,mediums,date
"The Spring Tree","https://www.saatchiart.com/art/Painting-The-Spring-Tree/803785/3458796/view","The Spring Tree","Kelly Hutchinson","United States","18","24","140","100","6","Landscape","Acrylic","1483228800000"
"Cosmic Connections II.","https://www.saatchiart.com/art/Painting-Cosmic-Connections-II/424908/3349857/view","Cosmic Connections II.","Beata Belanszky-Demko","Hungary","7","7","180","198","13","Abstract","Oil","1451606400000"
"Introspectus #13","https://www.saatchiart.com/art/Painting-Introspectus-13/313699/2532847/view","Introspectus #13","Frederic Belaubre","France","16","11","225","1116","11","Women","Acrylic","1434499200000"
"Oosterschelde (2017)","https://www.saatchiart.com/art/Painting-Oosterschelde-2017/56712/3382921/view","Oosterschelde (2017)","Nelly van Nieuwenhuijzen","Netherlands","11","11","290","453","13","Sailboat","Acrylic","1483228800000"
"Anthraquinone evening","https://www.saatchiart.com/art/Painting-Anthraquinone-evening/854142/2945394/view","Anthraquinone evening","M Isabel Gonzalez Carretero","Spain","39","31","430","407","25","Landscape","Acrylic, Gesso, Paper, Spray Paint","1455753600000"
"Miniature - May Day","https://www.saatchiart.com/art/Painting-Miniature-May-Day/787852/2486455/view","Miniature - May Day","Julie Drake","United Kingdom","5","5","135","568","34","Boat","Acrylic","1431302400000"
"Small Measures Lead to Strange Things (economists #2)","https://www.saatchiart.com/art/Painting-Small-Measures-Lead-to-Strange-Things-economists-2/936658/3270518/view","Small Measures Lead to Strange Things (economists #2)","Brian Wiggins","United States","14","11","240","2105","9","Abstract","Gouache, Acrylic","1450656000000"
"Railings","https://www.saatchiart.com/art/Painting-Railings/876551/2976221/view","Railings","Helen Knaggs","United Kingdom","8","11","240","460","20","Abstract","Acrylic","1441065600000"
"Mist Near Binnel Bay","https://www.saatchiart.com/art/Painting-Mist-Near-Binnel-Bay/341982/2600740/view","Mist Near Binnel Bay","Kitty Cooper","United Kingdom","10","14","140","978","42","Landscape","Gouache","1420070400000"
"Venice Harbor, Original oil painting, Signed","https://www.saatchiart.com/art/Painting-Venice-Harbor-Original-oil-painting-Signed/503607/3501421/view","Venice Harbor, Original oil painting, Signed","Vahe Yeremyan","United States","14","14","280","168","7","Cities","Oil","1483228800000"
"Came and Went","https://www.saatchiart.com/art/Painting-Came-and-Went/833929/3494233/view","Came and Went","Elizabeth Becker","United States","10","8","295","60","6","Portrait","Watercolor","1483228800000"
"Solace","https://www.saatchiart.com/art/Painting-Solace/836878/3450741/view","Solace","Colin Slater","","8","8","185","92","6","Landscape","Oil","1483228800000"
"Polar Bear Silatuyok","https://www.saatchiart.com/art/Painting-Polar-Bear-Silatuyok/300029/2197850/view","Polar Bear Silatuyok","Christine Montague","Canada","6","12","200","1140","17","Animal","Oil","1388534400000"
"Color Series #6","https://www.saatchiart.com/art/Painting-Color-Series-6/708263/2573053/view","Color Series #6","Linda O'Neill","United States","8","8","175","730","29","Abstract","Acrylic","1428278400000"
"Seashore, Handmade oil painting, One of a kind","https://www.saatchiart.com/art/Painting-Seashore-Handmade-oil-painting-One-of-a-kind/503607/3542766/view","Seashore, Handmade oil painting, One of a kind","Vahe Yeremyan","United States","9","12","205","63","3","Seascape","Oil","1483228800000"
"Turner's dream","https://www.saatchiart.com/art/Painting-Turner-s-dream/389236/3310362/view","Turner's dream","Catalin Ilinca","Spain","15","11","205","293","22","Landscape","Acrylic","1451606400000"
"Ovalino con pescetti rossi","https://www.saatchiart.com/art/Painting-Ovalino-con-pescetti-rossi/670666/2375188/view","Ovalino con pescetti rossi","Valeria Pesce","Spain","5","7","300","1286","18","Fish","Oil","1423872000000"
"design35 16x20","https://www.saatchiart.com/art/Painting-design35-16x20/798571/3369190/view","design35 16x20","Ron Halfant","United States","20","16","269","276","8","Abstract","Acrylic","1483228800000"
"One After Another","https://www.saatchiart.com/art/Painting-One-After-Another/291702/3521338/view","One After Another","Beverley Anderson","United Kingdom","30","22","180","37","10","Abstract","Acrylic, Charcoal","1483228800000"
"woman statue in a white and grey decor","https://www.saatchiart.com/art/Painting-woman-statue-in-a-white-and-grey-decor/779317/2443504/view","woman statue in a white and grey decor","Pierre-Yves Beltran","France","11","11","250","863","21","Interiors","Acrylic, oil pastels, scraping drawing","1136073600000"
"Cascade-Veil","https://www.saatchiart.com/art/Painting-Cascade-Veil/936658/3279047/view","Cascade-Veil","Brian Wiggins","United States","11","14","235","1980","10","Abstract","Gouache","1451174400000"
"Peak","https://www.saatchiart.com/art/Painting-Peak/403008/3336722/view","Peak","Randall Fischer","United States","15","13","220","99","10","Abstract","Oil","1451606400000"
"fat rabbit","https://www.saatchiart.com/art/Painting-fat-rabbit/746251/2260665/view","fat rabbit","Giorgio Gosti","Italy","13","11","290","1219","42","Kids","Watercolor","1412726400000"
"Genesis","https://www.saatchiart.com/art/Painting-Genesis/855789/3099890/view","Genesis","Ron Beller","United States","11","14","205","353","26","Abstract","Acrylic, Paint","1451606400000"
"""Deer"" two panel artwork","https://www.saatchiart.com/art/Painting-Deer-two-panel-artwork/115677/3355891/view","""Deer"" two panel artwork","Karenina Fabrizzi","Spain","7","15","255","507","15","Animal","Acrylic, Oil, Tempera, Ink","1483228800000"
"In My Dreams I Am Flying","https://www.saatchiart.com/art/Painting-In-My-Dreams-I-Am-Flying/867774/3372268/view","In My Dreams I Am Flying","Shellie Garber","United States","18","24","260","311","13","Abstract","Acrylic","1484179200000"
"Orange with a book, Cézanne","https://www.saatchiart.com/art/Painting-Orange-with-a-book-C-zanne/757238/3526426/view","Orange with a book, Cézanne","ANNE BAUDEQUIN","France","8","10","290","75","4","Still Life","Oil","1451606400000"
"Terrier","https://www.saatchiart.com/art/Painting-Terrier/756929/3242546/view","Terrier","Olha Darchuk","Ukraine","13","9","200","196","14","Animal","Oil","1451606400000"
"Meadow","https://www.saatchiart.com/art/Painting-Meadow/734803/3418452/view","Meadow","Tim Pfeiffer","United States","5","7","135","56","3","Landscape","Oil","1451606400000"
"Boats on the Shore, Seascape oil Painting, One of a Kind","https://www.saatchiart.com/art/Painting-Boats-on-the-Shore-Seascape-oil-Painting-One-of-a-Kind/503607/3489316/view","Boats on the Shore, Seascape oil Painting, One of a Kind","Vahe Yeremyan","United States","14","14","285","182","13","Seascape","Oil","1483228800000"
"Ursus 7","https://www.saatchiart.com/art/Painting-Ursus-7/700719/2971779/view","Ursus 7","Will Eskridge","United States","10","8","145","456","14","Animal","Spray Paint","1458604800000"
"Untitled","https://www.saatchiart.com/art/Painting-Untitled/560695/3120095/view","Untitled","Jon Cooper","Canada","12","9","290","335","10","Portrait","Watercolor, Ballpoint Pen","1451606400000"
"CONTEMPLATION","https://www.saatchiart.com/art/Painting-CONTEMPLATION/427067/3297686/view","CONTEMPLATION","Emilia Milcheva","Bulgaria","20","24","330","208","12","Landscape","Acrylic","1451606400000"
"Red roofs, white sails","https://www.saatchiart.com/art/Painting-Red-roofs-white-sails/56712/3471236/view","Red roofs, white sails","Nelly van Nieuwenhuijzen","Netherlands","7","7","190","129","9","Seasons","Acrylic","1483228800000"
"Tender","https://www.saatchiart.com/art/Painting-Tender/851978/3380701/view","Tender","Alicia Chimento","United States","12","12","290","89","5","Abstract","Oil, Acrylic, Pencil","1451606400000"
"Pajaro #1","https://www.saatchiart.com/art/Painting-Pajaro-1/717715/3336282/view","Pajaro #1","Marsha Boston","United States","10","8","245","324","17","Abstract","Watercolor, Ink","1451606400000"
"Field Of Flowers At Dawn","https://www.saatchiart.com/art/Painting-Field-Of-Flowers-At-Dawn/864509/3444466/view","Field Of Flowers At Dawn","Bettina Begon","United Kingdom","19","19","240","132","1","Landscape","Acrylic, Gesso, Household","1483228800000"
"Book 11 #32","https://www.saatchiart.com/art/Painting-Book-11-32/599547/2593063/view","Book 11 #32","Heather Goodwind","United States","8","5","290","1176","39","Seascape","Acrylic, Ink","1217548800000"
"the tender cocktail at the night","https://www.saatchiart.com/art/Painting-the-tender-cocktail-at-the-night/748484/2807993/view","the tender cocktail at the night","ALINA FEDOTOVA","","7","9","190","615","21","Body","Acrylic, Airbrush, Oil","1407196800000"
"Focus","https://www.saatchiart.com/art/Painting-Focus/414587/3477509/view","Focus","muriel boer","Netherlands","5","5","175","163","2","Beach","Acrylic","1483228800000"
"Climbing Vines","https://www.saatchiart.com/art/Painting-Climbing-Vines/385295/2934306/view","Climbing Vines","Lara Meintjes","United States","12","9","245","941","37","Botanic","Acrylic, Gouache","1460995195000"
"Spanish Retirement Home","https://www.saatchiart.com/art/Painting-Spanish-Retirement-Home/848545/2853380/view","Spanish Retirement Home","Slade Hartwell","Germany","18","15","290","1091","26","Architecture","Acrylic","1451606400000"
"blossom","https://www.saatchiart.com/art/Painting-blossom/806178/2587028/view","blossom","Elizaveta Panchuk","Ukraine","7","7","290","373","27","Landscape","Oil","1431216000000"
"ANHELO [1]  ... #050","https://www.saatchiart.com/art/Painting-ANHELO-1-050/889733/3375932/view","ANHELO [1]  ... #050","Romana Brunnauer","Spain","15","11","270","67","5","Abstract","Acrylic","1420070400000"
"Remnant","https://www.saatchiart.com/art/Painting-Remnant/836878/3315407/view","Remnant","Colin Slater","","8","20","295","238","14","Landscape","Oil","1451606400000"
"Soul Serenity","https://www.saatchiart.com/art/Painting-Soul-Serenity/804423/3109946/view","Soul Serenity","Deborah Pow","Canada","16","20","160","381","13","Landscape","Acrylic","1451606400000"
"Mix in yellow 2","https://www.saatchiart.com/art/Painting-Mix-in-yellow-2/70617/3193008/view","Mix in yellow 2","Moussin Irjan","Belgium","7","7","195","337","13","Portrait","Oil","1451606400000"
"Book 11 #27","https://www.saatchiart.com/art/Painting-Book-11-27/599547/2573918/view","Book 11 #27","Heather Goodwind","United States","8","5","290","1634","42","Body","Acrylic, Ink, Graphite, Pastel","1217548800000"
"Anymore","https://www.saatchiart.com/art/Painting-Anymore/409703/3371037/view","Anymore","Melissa McGill","United States","24","18","310","348","13","Abstract","Acrylic, Graphite","1483228800000"
"A Poinsettia isn’t Just for Christmas","https://www.saatchiart.com/art/Painting-A-Poinsettia-isn-t-Just-for-Christmas/4446/2460191/view","A Poinsettia isn’t Just for Christmas","Simon Birtall","United Kingdom","12","9","275","316","15","Floral","Oil","1418947200000"
"Old magazine 1957","https://www.saatchiart.com/art/Painting-Old-magazine-1957/469188/2198641/view","Old magazine 1957","Ria Kooistra","Netherlands","19","19","260","626","16","Women","Acrylic","1412467200000"
"Golden rose","https://www.saatchiart.com/art/Painting-Golden-rose/781213/2459394/view","Golden rose","Irina Afonskaya","Bulgaria","11","8","190","647","10","Floral","Gouache","1355270400000"
"New Violet","https://www.saatchiart.com/art/Painting-New-Violet/83856/2779495/view","New Violet","Helen Butler","United Kingdom","9","9","290","846","7","Abstract","Oil","1451779200000"
"When to Draw the Line","https://www.saatchiart.com/art/Painting-When-to-Draw-the-Line/719752/2632629/view","When to Draw the Line","Kat Crosby","United States","10","10","135","1034","43","Abstract","Acrylic","1442534400000"
"Birds XLVI","https://www.saatchiart.com/art/Painting-Birds-XLVI/716816/3543666/view","Birds XLVI","Maria Iciak","Poland","9","12","240","6","1","Animal","Watercolor","1483228800000"
"river in Koster running dry","https://www.saatchiart.com/art/Painting-river-in-Koster-running-dry/699375/2832009/view","river in Koster running dry","Leslie Fehler","Canada","12","12","145","507","33","Landscape","Acrylic","1455408000000"
"Landscape in blue","https://www.saatchiart.com/art/Painting-Landscape-in-blue/447438/3227344/view","Landscape in blue","Sourav Chatterjee","India","22","30","270","194","5","Fantasy","Watercolor","1451606400000"
"in a moment","https://www.saatchiart.com/art/Painting-in-a-moment/723067/3134024/view","in a moment","Joanne Reed","United Kingdom","8","8","175","165","11","People","Acrylic, Watercolor","1420070400000"
"1017","https://www.saatchiart.com/art/Painting-1017/890209/3050614/view","1017","Tracy Schacht","United States","8","6","135","313","19","People","Oil","1451606400000"
"North Sea Regatta","https://www.saatchiart.com/art/Painting-North-Sea-Regatta/56712/3467256/view","North Sea Regatta","Nelly van Nieuwenhuijzen","Netherlands","11","11","295","126","4","Yacht","Acrylic","1483228800000"
"Winter hues","https://www.saatchiart.com/art/Painting-Winter-hues/961432/3400742/view","Winter hues","Jennifer Chandiram","United Kingdom","31","23","280","103","8","Landscape","Oil","1451606400000"
"Regular byte","https://www.saatchiart.com/art/Painting-Regular-byte/733438/3386536/view","Regular byte","Nevena Kostic","Serbia","16","14","135","164","17","Erotic","Ink, Watercolor","1483228800000"
"Mercedez-Benz","https://www.saatchiart.com/art/Painting-Mercedez-Benz/10411/2596147/view","Mercedez-Benz","Simon Hopkinson","United Kingdom","19","27","330","1417","8","Landscape","Acrylic","1420070400000"
"""beach shack""","https://www.saatchiart.com/art/Painting-beach-shack/301241/2822961/view","""beach shack""","Kunstbetrieb Alujevic","Germany","16","11","245","735","23","Landscape","Watercolor","1454112000000"
"Topography","https://www.saatchiart.com/art/Painting-Topography/672415/3451162/view","Topography","Melanie Biehle","United States","12","9","265","107","9","Abstract","Acrylic, Charcoal","1451606400000"
"Essence","https://www.saatchiart.com/art/Painting-Essence/833929/3492354/view","Essence","Elizabeth Becker","United States","10","8","295","44","5","Portrait","Watercolor","1483228800000"
"Afar","https://www.saatchiart.com/art/Painting-Afar/52548/3488013/view","Afar","Anna Matykiewicz","Ireland","25","20","190","188","9","Portrait","Watercolor, Ink","1483228800000"
"Magic Hour 004","https://www.saatchiart.com/art/Painting-Magic-Hour-004/862186/2868433/view","Magic Hour 004","Chisato Yamada","Japan","8","6","250","358","18","Landscape","Acrylic, Japanese painting, pigments","1388534400000"
"Courage 08.01","https://www.saatchiart.com/art/Painting-Courage-08-01/841947/3360008/view","Courage 08.01","Tammy Silbermann","Canada","8","8","165","303","12","Abstract","Acrylic","1483228800000"
"Landscape with trees","https://www.saatchiart.com/art/Painting-Landscape-with-trees/788456/2534190/view","Landscape with trees","Tiago Barzana","","12","17","290","406","9","Landscape","Oil","1433721600000"
"Winding Roads","https://www.saatchiart.com/art/Painting-Winding-Roads/719752/3122348/view","Winding Roads","Kat Crosby","United States","18","24","260","249","9","Abstract","Acrylic, Graphite, Charcoal, Gesso, varnish","1420070400000"
"Limited Edition Nautilus Shell Print","https://www.saatchiart.com/art/Painting-Limited-Edition-Nautilus-Shell-Print/316356/3180938/view","Limited Edition Nautilus Shell Print","Edwina Paston-Cooper","United Kingdom","16","13","230","208","9","Beach","Gouache, Watercolor","1451606400000"
"Action","https://www.saatchiart.com/art/Painting-Action/883811/3486211/view","Action","Larry Hill","United States","20","16","310","40","8","Abstract","Oil","1199145600000"
"Book 11 #26","https://www.saatchiart.com/art/Painting-Book-11-26/599547/2573913/view","Book 11 #26","Heather Goodwind","United States","8","5","290","1183","41","Abstract","Acrylic, Ink","1217548800000"
"flower girl","https://www.saatchiart.com/art/Painting-flower-girl/335494/2836150/view","flower girl","SANTHOSH C H","India","10","8","290","973","44","Fashion","Ink, Watercolor","1441411200000"
"Introspectus #15","https://www.saatchiart.com/art/Painting-Introspectus-15/313699/2532980/view","Introspectus #15","Frederic Belaubre","France","16","11","225","1182","9","Women","Acrylic","1434499200000"
"""Radiant""","https://www.saatchiart.com/art/Painting-Radiant/710107/2948072/view","""Radiant""","Tatiana Iliina","Canada","14","18","195","635","10","Cities","Acrylic","1451606400000"
"Jay","https://www.saatchiart.com/art/Painting-Jay/786778/3288096/view","Jay","Hannah Bruce","United Kingdom","23","11","235","158","9","Animal","Oil","1451606400000"
"A Perfect Day","https://www.saatchiart.com/art/Painting-A-Perfect-Day/209768/2691705/view","A Perfect Day","Lorette C Luzajic","Canada","12","12","190","701","11","Cities","Acrylic, Ink, Paper, Spray Paint, Gesso","1420070400000"
"Evening Moonrise","https://www.saatchiart.com/art/Painting-Evening-Moonrise/958632/3383564/view","Evening Moonrise","Frank Wilson","United States","16","20","310","75","2","Landscape","Gouache","1199145600000"
"Una Buona Forchetta","https://www.saatchiart.com/art/Painting-Una-Buona-Forchetta/944126/3324249/view","Una Buona Forchetta","Marita Liivak","Estonia","15","15","310","227","25","Portrait","oil, color","1451606400000"
"Two Vases","https://www.saatchiart.com/art/Painting-Two-Vases/385295/3433575/view","Two Vases","Lara Meintjes","United States","14","11","280","245","33","Still Life","paint,  acrylic,  gouache, Conte, Pastel","1451606400000"
"Book 12 #27","https://www.saatchiart.com/art/Painting-Book-12-27/599547/2675125/view","Book 12 #27","Heather Goodwind","United States","8","5","290","1033","33","Abstract","Acrylic, Ink","1335398400000"
"x-axis 2","https://www.saatchiart.com/art/Painting-x-axis-2/765794/3073420/view","x-axis 2","Rachel Thern","United States","14","14","290","189","11","Abstract","Oil, Pencil","1420070400000"
"Hoisting our Dreams into the Light of Another Sun, Limited Edition of 250","https://www.saatchiart.com/art/Painting-Hoisting-our-Dreams-into-the-Light-of-Another-Sun-Limited-Edition-of-250/671404/3105360/view","Hoisting our Dreams into the Light of Another Sun, Limited Edition of 250","Paul Bond","United States","24","18","290","234","16","Fantasy","Giclee","1293840000000"
"Mountains Line","https://www.saatchiart.com/art/Painting-Mountains-Line/806341/3089457/view","Mountains Line","Olga Antonova","Ukraine","13","19","145","680","36","Nature","Gouache, Acrylic","1451606400000"
"Little Red 3","https://www.saatchiart.com/art/Painting-Little-Red-3/973655/3508804/view","Little Red 3","Elisa Sheehan","United States","8","8","135","50","4","Abstract","Acrylic, Oil","1451606400000"
"Morning flower","https://www.saatchiart.com/art/Painting-Morning-flower/867172/3077991/view","Morning flower","Irene Costello Brandle","United States","10","8","290","309","29","Floral","Oil","1451606400000"
"I would like...","https://www.saatchiart.com/art/Painting-I-would-like/745677/3115060/view","I would like...","Toni Popov","Macedonia","7","9","245","201","3","Still Life","Acrylic","1451606400000"
"Shadowed Chartreuse","https://www.saatchiart.com/art/Painting-Shadowed-Chartreuse/890187/3030840/view","Shadowed Chartreuse","Jae Schalekamp","United States","12","12","200","503","17","Nature","Acrylic","1420070400000"
"Untitled #30","https://www.saatchiart.com/art/Painting-Untitled-30/779841/3399415/view","Untitled #30","Roman Laufer","Canada","8","8","140","218","7","Abstract","Acrylic","1483228800000"
"Apotheon 8","https://www.saatchiart.com/art/Painting-Apotheon-8/58313/2354646/view","Apotheon 8","Mark Fearn","United Kingdom","6","9","270","716","15","Abstract","Acrylic, Ink","1424044800000"
"boat and rocks","https://www.saatchiart.com/art/Painting-boat-and-rocks/746251/2825407/view","boat and rocks","Giorgio Gosti","Italy","17","13","250","834","24","Landscape","Watercolor","1454976000000"
"Parallel","https://www.saatchiart.com/art/Painting-Parallel/768195/2720869/view","Parallel","Iryna Hrymalyuk","Canada","6","6","240","673","19","People","Acrylic, Oil","1420070400000"
"Endangered Species","https://www.saatchiart.com/art/Painting-Endangered-Species/296875/2622995/view","Endangered Species","Andy Cumming","United Kingdom","16","16","330","783","24","Culture","Acrylic, Ink, Paint, Spray Paint, Paper","1441238400000"
"park flowers august","https://www.saatchiart.com/art/Painting-park-flowers-august/83397/3131018/view","park flowers august","Joann Milano Neal","United States","5","8","135","244","9","Floral","Watercolor","1451606400000"
"""Summer's feeling"" - landscape fine art","https://www.saatchiart.com/art/Painting-Summer-s-feeling-landscape-fine-art/20453/3141492/view","""Summer's feeling"" - landscape fine art","Fabienne Monestier","France","11","11","242","579","35","Landscape","Oil","1420070400000"
"22-Memory.","https://www.saatchiart.com/art/Painting-22-Memory/45144/2662955/view","22-Memory.","CRIS ACQUA","Spain","8","11","290","603","14","Portrait","Ink, Acrylic, Gouache","1420070400000"
"A LINE IS A DOT THAT WENT FOR A WALK (panel 4)","https://www.saatchiart.com/art/Painting-A-LINE-IS-A-DOT-THAT-WENT-FOR-A-WALK-panel-4/856956/2844465/view","A LINE IS A DOT THAT WENT FOR A WALK (panel 4)","Sixfold Collective","United States","8","8","240","252","6","Abstract","Acrylic, Latex, ink, microbeads","1330560000000"
"Trout Brook Valley","https://www.saatchiart.com/art/Painting-Trout-Brook-Valley/329921/2465109/view","Trout Brook Valley","Allen Jones","United States","8","10","240","1367","37","Landscape","Oil","1427932800000"
"Woman #2","https://www.saatchiart.com/art/Painting-Woman-2/300979/2815934/view","Woman #2","Adam Wever-Glen","United States","12","12","245","676","21","Women","Oil","1451606400000"
"Pears","https://www.saatchiart.com/art/Painting-Pears/793491/2827405/view","Pears","isabel robledo","Spain","11","15","240","269","20","Food","Oil","1455062400000"
"Dry Hydrangea Bouquet","https://www.saatchiart.com/art/Painting-Dry-Hydrangea-Bouquet/285589/2722064/view","Dry Hydrangea Bouquet","Katia Bellini","United Kingdom","18","13","390","381","17","Floral","Oil","1420070400000"
"Red Tulip","https://www.saatchiart.com/art/Painting-Red-Tulip/421610/2929868/view","Red Tulip","stef wigg","United Kingdom","12","12","200","260","8","Still Life","Oil","1460419200000"
"""Urban Heart""","https://www.saatchiart.com/art/Painting-Urban-Heart/710107/2909028/view","""Urban Heart""","Tatiana Iliina","Canada","20","16","205","866","38","Cities","Acrylic","1451606400000"
"cloudy sunset landscape  "" paisaje en atardecer nublado""","https://www.saatchiart.com/art/Painting-cloudy-sunset-landscape-paisaje-en-atardecer-nublado/845056/2779674/view","cloudy sunset landscape  "" paisaje en atardecer nublado""","fernando ferrer","Spain","11","14","240","238","17","Landscape","Oil","1435363200000"
"Untitled (portrait)","https://www.saatchiart.com/art/Painting-Untitled-portrait/850102/3527682/view","Untitled (portrait)","DIEGO SCOLARI","Italy","9","7","195","31","4","Women","Oil","1483228800000"
